,pnl,actual_loss,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,snapshot_date,current_portfolio_value,avg_vol_ratio,exception
2007-12-31,-11199.976273539709,11199.976273539709,27790.329281039536,31944.211861513926,5,2007-12-28,1376086.4784475467,1.4622601409838953,0
2008-01-02,2975.016302234726,-2975.016302234726,27357.87316972646,31155.82375383512,5,2007-12-31,1364886.502174007,1.4698624052218685,0
2008-01-03,3775.2342238221318,-3775.2342238221318,27418.079216768732,31347.747533294933,5,2008-01-02,1367861.5184762417,1.4680765429849059,0
2008-01-04,-8620.214514355408,8620.214514355408,27181.049601607723,31182.067886508117,5,2008-01-03,1371636.7527000639,1.4613753040053463,0
2008-01-07,-4680.594752085628,4680.594752085628,26269.829665844096,29598.05577214649,5,2008-01-04,1363016.5381857085,1.462749910733513,0
2008-01-08,26414.479889681097,-26414.479889681097,26084.181408759905,29398.292822632986,5,2008-01-07,1358335.9434336228,1.4630349030269159,0
2008-01-09,-22605.07966286689,22605.07966286689,26815.220140394522,31156.545642594436,5,2008-01-08,1384750.423323304,1.619745707849047,0
2008-01-10,17597.24177564471,-17597.24177564471,27178.30546169728,32169.572190499865,5,2008-01-09,1362145.343660437,1.731206054470622,0
2008-01-11,-4715.822786187055,4715.822786187055,27646.036461131414,32797.19569243006,5,2008-01-10,1379742.5854360817,1.7372730104818956,0
2008-01-14,11623.45617897436,-11623.45617897436,27790.308160769753,32315.097750207922,5,2008-01-11,1375026.7626498947,1.7382339796497954,0
2008-01-15,-20077.87774271029,20077.87774271029,31070.253292598296,35725.98873004294,5,2008-01-14,1386650.218828869,1.729763534991532,0
2008-01-16,-9699.36920283828,9699.36920283828,29722.81384307472,34597.858258475826,5,2008-01-15,1366572.3410861588,1.73736833508828,0
2008-01-17,-9406.80264401855,9406.80264401855,29164.259452654747,34039.14675143077,5,2008-01-16,1356872.9718833205,1.7114149558397675,0
2008-01-18,809.9694229587913,-809.9694229587913,28583.37123425491,33158.044699639824,5,2008-01-17,1347466.169239302,1.722399750683148,0
2008-01-22,-4350.280211306643,4350.280211306643,28484.245187553344,33147.21389675881,5,2008-01-18,1348276.1386622607,1.718452836372304,0
2008-01-23,-465.15586307574995,465.15586307574995,28911.11799321673,33354.027487977175,5,2008-01-22,1343925.858450954,1.734239968018379,0
2008-01-24,25180.642219630303,-25180.642219630303,29365.750702150166,33925.777696274265,5,2008-01-23,1343460.7025878783,1.7428919932598002,0
2008-01-25,-6480.591974121053,6480.591974121053,30309.85227815481,35011.66044915155,5,2008-01-24,1368641.3448075086,1.7610936026140376,0
2008-01-28,10561.409041226609,-10561.409041226609,30102.49496514001,34715.72986223041,5,2008-01-25,1362160.7528333876,1.7675846157672288,0
2008-01-29,2653.853449518094,-2653.853449518094,30773.616887731012,35600.14389035655,5,2008-01-28,1372722.1618746142,1.771376094350872,0
2008-01-30,10837.639377761167,-10837.639377761167,30666.118206978077,35529.11179300388,5,2008-01-29,1375376.0153241323,1.7585390016858744,0
