Date,EURUSD,GLD,IEF,SPY
2006-01-04,0.006543246546145695,0.003382831797150453,0.0017869498375099797,0.004724423801784113
2006-01-05,-0.00041168873684475156,-0.018175416840417152,0.00023853247171019877,0.0006281705171641698
2006-01-06,0.0038817563086495453,0.02602449436115473,-0.001309393499970737,0.008287212200314325
2006-01-09,-0.006529687652801062,0.016248460425883546,0.0004757457118284002,0.0025662118789239476
2006-01-10,-0.0009052183712828674,-0.009939288552968072,-0.004055909653218042,0.0010084804730912471
2006-01-11,0.0061959538988384764,0.008656420300679483,-0.0025132198648882462,0.0031762013521402185
2006-01-12,-0.0077750583128544945,-0.0018355084992045636,0.0035888475263240282,-0.003951481397873912
2006-01-13,0.008102807605059732,0.018385852058020367,0.004408318362737519,-0.0009324392050729701
2006-01-16,-0.0022196590033976863,0.0,0.0,0.0
2006-01-17,-0.0006297919547457851,-0.0032520409896078756,0.0011873338259205959,-0.002723871367694711
2006-01-18,-3.6427670304904696e-05,-0.02176979137145157,0.0003565173300224125,-0.003981891649826837
2006-01-19,-0.0014034752621391658,0.02772383396043182,-0.0024962909776556973,0.0038261779342300684
2006-01-20,0.003718816279432901,-0.007040364605841864,0.0016655016627637649,-0.018405456956785478
2006-01-23,0.013747064094996127,0.010273131505108786,-0.0002386055383578199,0.0035660273123257636
2006-01-24,-0.003181662844508498,-0.0007175052420346415,-0.0016638953043418745,0.001027917979391234
2006-01-25,-0.001629828263892348,0.007329966694290513,-0.00620869048713613,0.0008686830099446689
2006-01-26,-0.0024581756473356186,-0.004642006558574431,-0.002158709985828054,0.005511353319300625
2006-01-27,-0.009954393660605,-0.004483910215659325,0.0007213824623422873,0.009222315831280803
2006-01-30,-0.0006529396417630722,0.018698776919120332,-0.0021621297157810664,-0.0007782285133744632
2006-01-31,0.005149898660757911,0.00035280398276080644,0.001440747253438604,-0.007345869515352126
2006-02-01,-0.006731854159330575,0.0,-0.003086118732952649,0.006956657500788851
2006-02-02,0.0014128829175009342,0.004926096846573146,0.0,-0.011673217920352733
2006-02-03,-0.004725752548756046,-0.008459682883606469,0.0030144493628483007,-0.004976728796355542
2006-02-06,-0.005337835436600159,0.0038862655930409257,-0.0014458328335411306,0.002609817430788197
2006-02-07,0.002503415710290351,-0.038093048941077325,-0.001207135103251603,-0.008886030562887599
2006-02-08,-0.002335921043996027,0.004203668006722571,-0.0006030615829102514,0.009043847359097362
2006-02-09,0.002419909750198401,0.02432330429712352,0.0009656590047420106,-0.0016594157189407592
2006-02-10,-0.007277768780254572,-0.025053114848127972,-0.002901263673856324,0.0018175576504721102
2006-02-13,0.00041679917459765814,-0.019722317881601545,0.0,-0.0018175576504720484
2006-02-14,0.00033359442192101293,0.014231835019739241,-0.001453285805202184,0.01054422010425119
2006-02-15,-0.002523028670692511,-0.013487564404801337,0.0018165704082275754,0.0035165142420588067
2006-02-16,0.0017726350741738186,0.01403795023117115,-0.00048425250580894715,0.007460100226406073
2006-02-17,0.002933418411826851,0.008038016031443143,0.003383996601273074,-0.002713219504818311
2006-02-20,-0.0006685415703134679,0.0,0.0,0.0
